,PSZ2 Indx,Name,RA,DEC,RA_SEX,DEC_SEX,SDSS Footprint,SkyServer,SDSS Catalog,SNR,PSZ1,Redshift,Semester,Val,PCCS2,PSZ1 Name,Optical run1,Optical run2,IR run1,Optical Bands,Optical Status,IR Status,Observable,ROSAT,RASS rate,RASS S/N,New RASS rate,New RASS S/N,PSZ1 Index,PSZ2 Index,New S/N,Old S/N
10,1043,PSZ2_G230.28-28.57,82.78813825,-26.82472872,5:31:09,-26:49:29,False,,,9.3019,-1,-1,-2.0,-1,T,,2-Apr-16,,,,unknown,unknown,True,,,,-0.0058,-2.66,,,,
11,845,PSZ2_G181.88-30.77,61.08926858,9.27079767,4:04:21,+09:16:14.87,False,,,9.2935,-1,-1,2.0,-1,F,,,,17-Nov-15,,unknown,unknown,True,,,,-0.0029,-0.85,,,,
12,165,PSZ2_G044.83+10.02,279.164107,15.08047921,18:36:39,+15:04:49.72,False,,,9.2704,127,-1,1.0,-1,T,PSZ1_G044.83+10.02,7-Oct-15,,21-Feb-16,,unknown,unknown,True,,-0.0021,-0.59,-0.0021,-0.59,127.0,165.0,9.27,7.27
13,1100,PSZ2_G243.00-65.94,38.9777896,-36.73761312,2:35:55,-36:44:15,False,,,9.1819,-1,-1,-2.0,-1,F,,,,,,unknown,unknown,True,,,,-0.0023,-0.81,,,,
14,113,PSZ2_G032.12-14.96,295.8916172,-7.462413944,19:43:34,-7:27:45,True,http://skyserver.sdss.org/dr13/en/tools/chart/navi.aspx?ra=295.891617&dec=-7.462414&opt=S,MADE,9.1188,88,-1,-1.0,-1,F,PSZ1_G032.15-14.93,14-Jul-16,,,,unknown,unknown,True,,-0.0076,-2.13,-0.0036,-0.72,88.0,113.0,9.119,8.214
15,1033,PSZ2_G228.35-66.31,39.66915281,-30.83913394,2:38:41,-30:50:21,False,,,9.0827,-1,-1,-2.0,-1,F,,,,,,unknown,unknown,True,,,,0.0227,2.6,,,,
16,105,PSZ2_G029.80-17.40,297.1337388,-10.52775726,19:48:32,-10:31:40,False,,,9.0066,78,-1,-1.0,-1,T,PSZ1_G029.79-17.37,13-Jun-16,,,,unknown,unknown,True,,0.0007,0.08,0.0068,0.67,78.0,105.0,9.007,6.591
17,1388,PSZ2_G294.37-14.33,159.2046791,-74.91753648,10:36:49,-74:55:03,False,,,8.8712,1030,-1,-1.0,-1,T,PSZ1_G294.39-14.34,3-Apr-16,,,,unknown,unknown,False,,0.0621,0.92,0.0257,0.83,1030.0,1388.0,8.871,4.98
18,303,PSZ2_G071.67-42.76,337.7250414,5.701450071,22:30:54,+05:42:05.22,True,http://skyserver.sdss.org/dr13/en/tools/chart/navi.aspx?ra=337.725041&dec=5.701450&opt=S,MADE,8.6349,239,-1,-999.0,-1,T,PSZ1_G071.64-42.76,7-Sep-13,24-Oct-14,3-Nov-14,,unknown,unknown,True,,-0.0021,-0.4,-0.0024,-0.46,239.0,303.0,8.635,8.821
19,1465,PSZ2_G310.81+83.91,193.75253490000003,21.0947672,12:55:01,+21:05:41.16,True,http://skyserver.sdss.org/dr13/en/tools/chart/navi.aspx?ra=193.752535&dec=21.094767&opt=S,MADE,8.2891,1093,-1,1.0,-1,T,,,,21-Feb-16,,unknown,unknown,True,,,,-0.0041,-1.35,1093.0,,,
20,1485,PSZ2_G314.77-28.57,293.47610269999996,-79.43657736,19:33:54,-79:26:12,False,,,8.2179,-1,-1,-1.0,-1,F,,,,,,unknown,unknown,False,,,,0.0053,0.63,,,,
21,1489,PSZ2_G315.66-28.64,293.5013063,-78.64764777,19:34:00,-78:38:52,False,,,8.2138,1116,-1,-1.0,-1,T,PSZ1_G315.62-28.63,,,,,unknown,unknown,False,,-0.0051,-1.19,-0.0013,-0.21,1116.0,1489.0,8.214,6.479
