Label,Target1,RA,Dec,RA_SEX,DEC_SEX,,,TOTAL Exp Time [ksec]6,Estimated XRT Count Rate7,Magnitude Of Brightest Object In FOV8,Comment11,PSZ2 ID#,Target ID,Number of Segments Observed,AFST time (s),Exposure time (s),Extended X-rays?,Opt/IR data?,Reobserve in Cycle 13,N_H (10^{22} atoms cm^-2),Swift XRT flux (0.1-2.4 keV),Frac flux error,RA (Swift XRT),Dec (Swift XRT),Optical/IR counterpart (BCG),Optical/IR mag,Optical/IR band,Redshift,Radio flux (mJy),Radio freq/survey,SALT,SALT Redshift
3,PSZ1_G224.45+05.25,112.8741667,-7.775138889,7:31:30,-7:46:31,,,3,0.013,B=9.541, Jack Hughes - S/N=4.553,-999.1,85616,2,2420,1910,Yes,Opt,,,,,, ,,,,-1,,,,
3,PSZ1_G224.82+13.62,120.4233333,-4.065138889,8:01:42,-4:03:55,,,3,0.03,B=10.036, Jack Hughes - S/N=5.511,1009,85617,2,4525,4458,Yes (4-XMM),,,0.0393,9.36E-13,0.075,, ,,,,0.294,,,2014-2,MOS
3,PSZ1_G234.12+10.45,122.305,-13.51288889,8:09:13,-13:30:46,,,3,0.026,B=7.811, Jack Hughes - S/N=4.611,1065,85618,3,2800,2715,Yes,,,0.0921,9.48E-13,0.12,08 09 05,-13 30 31,,,,-1,,,2015-2,0.296
3,PSZ1_G241.68-30.47,83.71083333,-36.88480556,5:34:51,-36:53:05,,,3,0.043,B=10.95, Jack Hughes - S/N=4.584,-999.1,85619,4,1585,2417,Yes,,,,,,05 34 50,-36 53 16,MRSS 363-162412,17.6,r,-1,,,2015-2,0.287
3,PSZ1_G245.67-07.42,111.68875,-32.42525,7:26:45,-32:25:31,,,3,0.012,B=8.515, Jack Hughes - S/N=4.601,1113,85620,3,6135,6046,Yes,,,,,,07 26 50,-32 25 15,Not obvious in DSS2,,,-1,,,,
3,PSZ1_G254.52+08.27,132.8766667,-31.26472222,8:51:30,-31:15:53,,,3,0.023,B=8.127, Jack Hughes - S/N=4.827,1167,85621,1,2570,2545,Yes,Opt,n,,6.06E-13,0.18,08 51 27,-31 15 53,,,,-1,,,2015-2,0.32
3,PSZ1_G260.83+06.73,136.34375,-37.03877778,9:05:23,-37:02:20,,,3,0.016,B=7.939, Jack Hughes - S/N=4.704,1199,85622,5,3215,3134,Yes,,n,,,,, ,,,,-1,,,2015-2,     XXX
3,PSZ1_G262.45+49.34,167.71625,-5.461527778,11:10:52,-5:27:42,,,3,0.01,B=8.391, Jack Hughes - S/N=4.604,-999.1,85623,3,1340,829,Indeterminate,,y,,,,, ,,,,-1,,,,
3,PSZ1_G265.37+08.05,141.50125,-39.39427778,9:26:00,-39:23:39,,,3,0.03,B=9.84, Jack Hughes - S/N=5.085,1228,85624,3,2600,2510,Yes (4-XMM),Opt,n,0.196,6.71E-13,0.16,09 26 02,-39 23 51,,,,-1,,,2015-2,      0.155?
3,PSZ1_G276.48-21.52,110.1804167,-65.30925,7:20:43,-65:18:33,,,3,0.03,B=9.21, Jack Hughes - S/N=4.522,1284,85625,3,2595,2520,Yes,,n,,7.33E-13,0.14,07 20 53,-65 18 16,,,,-1,,,2015-2,0.356
3,PSZ1_G278.78+08.54,156.2129167,-47.34083333,10:24:51,-47:20:27,,,3,0.02,B=9.41, Jack Hughes - S/N=5.978,1294,85626,7,4785,4530,Yes (4-XMM),Opt,n,0.118,1.01E-12,0.15,10 24 58,-47 19 51,,,,-1,,,2014-2,0.553
3,PSZ1_G278.94-17.62,121.0916667,-65.93005556,8:04:22,-65:55:48,,,3,0.017,B=8.052, Jack Hughes - S/N=4.633,1298,85627,1,865,839,Indeterminate,,y,,,,, ,,,,-1,,,,
3,PSZ1_G281.49-08.34,141.6558333,-62.353,9:26:37,-62:21:11,,,3,0.021,B=7.012, Jack Hughes - S/N=5.125,1310,85628,5,1885,1788,Yes,,y,0.184,4.74E-13,0.22,09 26 54,-62 20 0.6,,,,-1,,,2016-2,
3,PSZ1_G282.11+38.29,175.3825,-21.73780556,11:41:32,-21:44:16,,,3,0.044,B=10.18, Jack Hughes - S/N=4.833,1313,85629,4,1515,1424,Yes,,n,,,,, ,,,,0.327,,,,
3,PSZ1_G286.07-42.77,49.69833333,-69.20322222,3:18:48,-69:12:12,,,3,0.027,B=10.98, Jack Hughes - S/N=4.889,1333,85630,2,595,382,Indeterminate,Opt,y,,,,, ,,,,-1,,,,
3,PSZ1_G286.63-23.93,111.5029167,-74.95911111,7:26:01,-74:57:33,,,3,0.04,B=9.74, Jack Hughes - S/N=4.596,1338,85631,5,2005,1906,Yes,,n,,,,07 26 20.8,-74 59 35.3,,,,-1,,,,
3,PSZ1_G287.21+34.96,178.5425,-26.15602778,11:54:10,-26:09:22,,,3,0.049,B=9.615, Jack Hughes - S/N=5.019,1345,85632,3,2285,1986,Yes,,n,0.0561,7.40E-13,0.15,11 54 15.9,-26 09 13,,,,0.349,,,,
3,PSZ1_G288.27+11.71,170.8383333,-48.63161111,11:23:21,-48:37:54,,,3,0.017,B=8.905, Jack Hughes - S/N=5.907,-999.3,85633,4,1970,1885,Yes (4-XMM),Opt,n,0.068,5.82E-13,0.21,11 23 19,-48 37 27,,,,-1,,,,
3,PSZ1_G288.87-32.97,73.78625,-76.51922222,4:55:09,-76:31:09,,,3,0.022,B=11.15, Jack Hughes - S/N=4.778,1357,85634,1,3315,3274,Yes,,n,0.0793,3.58E-13,0.18,04 54 49.4,-76 31 42.3,MRSS 032-117004,17.8,r,-1,,,,
3,PSZ1_G289.30-28.95,91.02791667,-77.83825,6:04:07,-77:50:18,,,3,0.037,B=10.01, Jack Hughes - S/N=4.913,1360,85635,4,1530,1449,Yes,Opt,n,0.0809,8.27E-13,0.16,06 30 39,-77 50 53,,,,-1,,,,
3,PSZ1_G291.58-23.91,117.7625,-79.27713889,7:51:03,-79:16:38,,,3,0.016,B=11.14, Jack Hughes - S/N=4.608,-999.1,85636,2,845,801,Yes,,n,0.126,8.24E-13,0.24,, ,,,,-1,,,,
3,PSZ1_G294.39-14.34,159.245,-74.93636111,10:36:59,-74:56:11,,,3,0.062,B=6.919, Jack Hughes - S/N=4.98,1388,85637,2,1535,1476,Yes,,n,0.0808,3.93E-13,0.24,, ,,,,-1,,,,
3,PSZ1_G297.20-44.90,25.82625,-71.64055556,1:43:18,-71:38:26,,,3,0.028,B=9.965, Jack Hughes - S/N=4.681,1407,85797,,,,,,y,,,,, ,,,,-1,,,,
3,PSZ1_G297.20-44.90 (Not),33.3875,-71.64055556,2:13:33,-71:38:26,,,3,0.028,B=9.965, Jack Hughes - S/N=4.681,1407,85638,2,965,924,Mispointed,,n,,,,, ,,,,-1,,,,
3,PSZ1_G305.77+44.80,194.9825,-18.01713889,12:59:56,-18:01:02,,,3,0.015,B=11.587, Jack Hughes - S/N=4.717,1441,,,0,,,,y,,,,, ,,,,-1,,,,
3,PSZ1_G305.93-25.47,251.9879167,-86.84063889,16:47:57,-86:50:26,,,3,0.047,B=10.697, Jack Hughes - S/N=5.259,1443,85640,5,1430,1366,Yes (4-XMM),,n,0.0827,1.50E-12,0.12,18 47 22,-86 50 02,,,,-1,,,,
3,PSZ1_G305.97-37.15,359.2608333,-79.64669444,23:57:03,-79:38:48,,,3,0.039,B=10.91, Jack Hughes - S/N=5.993,1444,85641,3,2890,2835,Yes,Opt,n,0.0614,1.77E-12,0.075,23 57 19.6,-79 38 44,,,,-1,,,,
